nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa;kode_desa;nama_desa;tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
1102;Kabupaten Aceh Tenggara;110213;Deleng Pokhkisen;1102132017;Tading Ni Ulihi;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112010;Meunasah Tunong;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112011;Meunasah Teungoh;2024;Laki-laki;23;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112012;Keude Baro;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112013;Matang Perlak;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112014;Grong-Grong;2024;Laki-laki;9;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112015;Matang Kruet;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112016;Meunasah Leubok;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112017;Pante Panah;2024;Laki-laki;4;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112018;Paya Demam Sa;2024;Laki-laki;17;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112019;Paya Demam Dua;2024;Laki-laki;12;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112020;Paya Demam Lhee;2024;Laki-laki;6;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112021;Matang Pudeng;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112022;Putoh Sa;2024;Laki-laki;21;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112023;Putoh Dua;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112024;Sah Raja;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112025;Sijudo;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122001;Madat;2024;Laki-laki;25;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122002;Matang Keupula Sa;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122019;Tanjong Minjei;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110311;Pante Bidari;1103112007;Seuneubok Saboh;2024;Laki-laki;17;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122016;Tanjong Ara;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122022;Bintah;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110312;Madat;1103122023;Seuneubok Pidie;2024;Laki-laki;37;Jiwa
1103;Kabupaten Aceh Timur;110313;Indra Makmu;1103132007;Suka Makmur;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110313;Indra Makmu;1103132008;Jambo Balee;2024;Laki-laki;8;Jiwa
1103;Kabupaten Aceh Timur;110313;Indra Makmu;1103132009;Jambo Lubok;2024;Laki-laki;25;Jiwa
1103;Kabupaten Aceh Timur;110315;Banda Alam;1103152011;Buket Drien;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110315;Banda Alam;1103152012;Panton Rayeuk A;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110315;Banda Alam;1103152013;Panton Rayeuk B;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110315;Banda Alam;1103152014;Panton Rayeuk M;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142007;Keude Keumuneng;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142008;Keumuneng Lhok;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142009;Paya Awee;2024;Laki-laki;15;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142010;Paya Gaboh;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142011;Padang Kasah;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142012;Buket Teukuh;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142013;Buket Pu'Uk;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142014;Blang Minjei;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110314;Idi Tunong;1103142015;Alue Kumbang A;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110316;Peudawa;1103162013;Sama Dua;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110316;Peudawa;1103162016;Seuneubok Peunteut;2024;Laki-laki;239;Jiwa
1103;Kabupaten Aceh Timur;110316;Peudawa;1103162017;Paya Bili Sa;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172001;Babah Krueng;2024;Laki-laki;4;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172002;Kruet Lintang;2024;Laki-laki;15;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172003;Jengki;2024;Laki-laki;12;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172008;Alue Bugeng;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172009;Seuneubok Punti;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172010;Seumatang Keude;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172011;Seuneubok Jalan;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172012;Seuneubok Paya;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172013;Alue Tho;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172014;Seuneubok Rawang;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172015;Alue Bu Alue Nireh;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172016;Seuneubok Dalam;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172017;Seuneubok Lapang;2024;Laki-laki;20;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172018;Gelanggang Meurak;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172019;Alue Bu Alue Lhok;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110317;Peureulak Timur;1103172020;Tualang Pateng;2024;Laki-laki;10;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182001;Beusa Seberang;2024;Laki-laki;70;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182002;Mon Geudong;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182003;Paya Seungat;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182004;Teumpeun;2024;Laki-laki;27;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182005;Alue Bu Tuha;2024;Laki-laki;32;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182006;Alue Bu Jalan;2024;Laki-laki;15;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182007;Tanjong Tualang;2024;Laki-laki;8;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182008;Beringen;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182009;Kebon Tempeun;2024;Laki-laki;12;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182010;Paya Gajah;2024;Laki-laki;17;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182011;Kabu;2024;Laki-laki;7;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182012;Paya Biek;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182013;Beusa Baroh;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182014;Alue Bu Jalan Baroh;2024;Laki-laki;15;Jiwa
1103;Kabupaten Aceh Timur;110318;Peureulak Barat;1103182015;Alue Bu Tunong;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192001;Alue Rangan;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192002;Geulumpang Payong;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192003;Labuhan Keudee;2024;Laki-laki;55;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192004;Buket Seulamat;2024;Laki-laki;18;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192005;Buket Drien;2024;Laki-laki;14;Jiwa
1103;Kabupaten Aceh Timur;110319;Sungai Raya;1103192010;Seuneubok Aceh;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110321;Darul Ihsan;1103212010;Pulo Blang;2024;Laki-laki;7;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222002;Cempeudak;2024;Laki-laki;9;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222003;Buket Tufah;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222004;Tunong Ulee Gajah;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222005;Keudondong;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222006;Seuneubok Panton;2024;Laki-laki;0;Jiwa
